,Year,Disaster Type,Event Name,Country,Total Affected
456,2015,Drought,,Panama,
457,2015,Storm,,El Salvador,20000.0
458,2015,Flood,,El Salvador,
459,2016,Storm,Tropical storm 'Earl',Mexico,11000.0
460,2016,Flood,,Mexico,6000.0
461,2016,Storm,Hurricane Newton,Mexico,10500.0
462,2016,Flood,,Mexico,3000.0
463,2016,Transport accident,,Mexico,
464,2016,Transport accident,,Mexico,28.0
465,2016,Industrial accident,Petrochimical plant,Mexico,100.0
466,2016,Flood,,Mexico,6000.0
467,2016,Transport accident,Migrants,Nicaragua,21.0
468,2016,Storm,Tropical storm Otto,Costa Rica,50000.0
469,2017,Storm,Tropical depression'16/Hurricane 'Nate',Costa Rica,11500.0
470,2017,Transport accident,Cessna 208 Caravan,Costa Rica,
471,2017,Earthquake,,Guatemala,3601.0
472,2017,Flood,,Guatemala,160.0
473,2018,Flood,,Costa Rica,125190.0
474,2018,Volcanic activity,Volcan de Fuego,Guatemala,1714414.0
475,2018,Drought,,Costa Rica,
476,2018,Flood,,Guatemala,76845.0
477,2019,Epidemic,Dengue,Costa Rica,4852.0
478,2016,Storm,Tropical storm Otto,Panama,12000.0
479,2016,Flood,,Mexico,35000.0
480,2016,Flood,,Honduras,500.0
481,2016,Flood,,Honduras,450000.0
482,2016,Flood,,Mexico,3000.0
483,2016,Miscellaneous accident,Fireworks market,Mexico,72.0
484,2016,Storm,Tropical storm Otto,Nicaragua,10570.0
485,2017,Earthquake,,Mexico,1200250.0
486,2017,Storm,Tropical depression'16/Hurricane 'Nate',Guatemala,413.0
487,2017,Storm,Tropical depression'16/Hurricane 'Nate',Honduras,120.0
488,2017,Storm,Beatriz,Mexico,600.0
489,2017,Storm,Hurricane 'Franklin',Mexico,300.0
490,2017,Storm,Hurricane Katia,Mexico,1110.0
491,2017,Earthquake,,Mexico,256000.0
492,2017,Flood,,Honduras,645.0
493,2017,Storm,Tropical depression'16/Hurricane 'Nate',Panama,12000.0
494,2017,Flood,,Honduras,46975.0
495,2017,Storm,Tropical storm 'Lidia',Mexico,1000.0
496,2017,Landslide,,Guatemala,
497,2017,Miscellaneous accident,Foyer pour enfants 'Hogar Seguro',Guatemala,
498,2017,Flood,,Guatemala,10080.0
499,2017,Flood,,Guatemala,1000.0
500,2017,Flood,,Guatemala,31319.0
501,2017,Flood,,Honduras,400.0
502,2017,Flood,,Mexico,800.0
503,2017,Transport accident,,Mexico,9.0
504,2017,Transport accident,,Mexico,31.0
505,2017,Transport accident,,Mexico,12.0
506,2017,Transport accident,,Mexico,2.0
507,2017,Miscellaneous accident,Firework depot,Mexico,22.0
508,2017,Storm,Tropical depression'16/Hurricane 'Nate',Nicaragua,39200.0
509,2017,Flood,,Nicaragua,13715.0
510,2017,Transport accident,,Panama,33.0
511,2018,Flood,,Guatemala,100.0
512,2018,Flood,,Honduras,6948.0
513,2018,Flood,,Nicaragua,13000.0
514,2018,Storm,Tropical storm 'Vicente',Mexico,
515,2018,Drought,,Guatemala,1500000.0
516,2018,Drought,,Honduras,360000.0
517,2018,Earthquake,,Mexico,3004.0
518,2018,Flood,,Mexico,120.0
519,2018,Storm,Hurricane Willa,Mexico,10000.0
520,2018,Transport accident,Helicopter,Mexico,
521,2018,Transport accident,,Mexico,
522,2018,Miscellaneous accident,Fireworks depot,Mexico,
523,2018,Drought,,Nicaragua,300000.0
524,2018,Drought,,Panama,
525,2019,Flood,,Mexico,3000.0
526,2019,Epidemic,Dengue,Guatemala,6264.0
527,2019,Transport accident,,Guatemala,20.0
528,2019,Epidemic,Dengue,Honduras,71216.0
529,2019,Transport accident,,Honduras,
530,2019,Transport accident,Bombardier Challenger 601,Mexico,
531,2019,Transport accident,,Mexico,33.0
532,2019,Transport accident,,Mexico,30.0
533,2019,Industrial accident,Oleoduc,Mexico,22.0
534,2019,Flood,,Mexico,142.0
535,2019,Epidemic,Dengue,Nicaragua,94513.0
536,2017,Storm,Tropical depression'16/Hurricane 'Nate',El Salvador,584.0
537,2018,Flood,,El Salvador,7099.0
538,2018,Drought,,El Salvador,386610.0
539,2018,Earthquake,,El Salvador,2499.0
540,2019,Earthquake,,El Salvador,160.0
541,2019,Epidemic,Dengue,El Salvador,16573.0
542,2019,Storm,,Guatemala,15000.0
543,2019,Storm,,Guatemala,63453.0
544,2019,Storm,Tropical cyclone 'Lorena',Mexico,200.0
545,2019,Storm,Tropical storm 'Fernand',Mexico,
546,2019,Transport accident,,Guatemala,11.0
547,2019,Storm,Tropical storm 'Narda',Mexico,1000.0
548,2019,Transport accident,,Mexico,12.0
549,2019,Flood,,Mexico,500.0
